L,K,P,G,Z,S,E,X,R,I,V,A,W,F,Y,M,C,T,N,U,D,H,Q,ID,Label,IsDNA,IsRNA
21,31,11,27,0,23,18,0,13,21,38,29,5,13,9,8,2,21,12,0,27,6,3,1309,nonDRNA,NotDNA,NotRNA
20,15,13,23,0,14,15,0,16,20,24,31,2,9,8,14,5,13,10,0,19,6,14,1310,nonDRNA,NotDNA,NotRNA
39,23,17,22,0,14,21,0,18,21,14,16,3,18,12,7,13,10,13,0,23,6,13,1311,nonDRNA,NotDNA,NotRNA
82,65,34,62,0,68,48,0,54,37,72,72,19,47,27,23,10,54,31,0,47,21,32,1312,nonDRNA,NotDNA,NotRNA
77,56,31,40,0,40,60,0,42,32,37,37,7,36,22,24,15,23,17,0,40,21,32,1313,nonDRNA,NotDNA,NotRNA
27,27,12,24,0,15,29,0,9,20,26,42,0,14,7,7,2,14,15,0,20,2,11,1314,nonDRNA,NotDNA,NotRNA
32,18,19,41,0,18,28,0,14,25,30,44,9,15,10,9,3,22,18,0,18,20,12,1315,nonDRNA,NotDNA,NotRNA
34,18,19,42,0,15,31,0,14,24,32,43,8,14,13,8,3,23,19,0,15,20,10,1316,nonDRNA,NotDNA,NotRNA
82,21,38,67,0,29,47,0,51,31,55,109,3,23,12,12,0,29,10,0,40,6,26,1317,nonDRNA,NotDNA,NotRNA
18,9,13,15,0,19,15,0,16,15,14,17,4,7,12,9,5,6,16,0,13,6,8,1318,nonDRNA,NotDNA,NotRNA
68,32,50,59,0,82,54,0,54,34,62,48,11,31,14,20,26,39,63,0,65,16,47,1319,nonDRNA,NotDNA,NotRNA
18,12,4,14,0,16,15,0,14,14,8,15,2,14,9,2,9,8,10,0,10,1,13,1320,nonDRNA,NotDNA,NotRNA
32,24,20,21,0,26,53,0,29,17,25,45,2,15,13,15,6,25,14,0,35,11,11,1321,nonDRNA,NotDNA,NotRNA
25,5,13,20,0,12,15,0,12,10,16,20,2,12,6,2,4,9,8,0,12,9,14,1322,nonDRNA,NotDNA,NotRNA
13,9,11,19,0,17,11,0,9,13,12,10,5,11,11,2,6,13,7,0,16,6,7,1323,nonDRNA,NotDNA,NotRNA
42,6,21,36,0,11,19,0,20,27,22,44,7,15,15,3,9,24,15,0,18,15,24,1324,nonDRNA,NotDNA,NotRNA
21,16,10,24,0,17,20,0,10,24,23,24,3,8,6,10,6,17,9,0,16,5,8,1325,nonDRNA,NotDNA,NotRNA
16,16,10,22,0,17,20,0,11,21,29,24,3,9,6,12,7,16,10,0,15,4,9,1326,nonDRNA,NotDNA,NotRNA
30,27,16,27,0,20,17,0,13,17,31,30,0,11,15,11,7,17,13,0,24,5,7,1327,nonDRNA,NotDNA,NotRNA
11,10,2,10,0,5,19,0,5,7,8,10,0,9,1,9,1,9,7,0,19,1,6,1328,nonDRNA,NotDNA,NotRNA
11,10,2,10,0,5,20,0,5,7,8,10,0,9,1,9,1,9,7,0,18,1,6,1329,nonDRNA,NotDNA,NotRNA
52,16,17,43,0,21,29,0,28,19,44,66,7,10,11,13,8,25,17,0,34,19,16,1330,nonDRNA,NotDNA,NotRNA
7,12,5,7,0,4,9,0,1,17,7,8,1,5,3,1,3,3,5,0,6,5,4,1331,nonDRNA,NotDNA,NotRNA
24,7,4,14,0,17,12,0,10,15,23,26,1,2,8,1,0,20,11,0,20,3,15,1332,nonDRNA,NotDNA,NotRNA
24,9,8,12,0,30,15,0,12,17,23,25,1,11,5,3,0,32,19,0,17,4,15,1333,nonDRNA,NotDNA,NotRNA
42,18,11,6,0,17,15,0,9,18,12,14,5,7,5,4,10,25,13,0,15,1,7,1334,nonDRNA,NotDNA,NotRNA
5,6,8,12,0,12,6,0,6,9,7,12,1,8,2,1,0,7,9,0,10,3,5,1335,nonDRNA,NotDNA,NotRNA
30,30,37,34,0,25,25,0,29,24,37,42,6,32,21,10,4,24,33,0,36,22,26,1336,nonDRNA,NotDNA,NotRNA
39,10,19,19,0,23,24,0,18,12,12,22,2,9,5,8,4,13,10,0,15,6,20,1337,nonDRNA,NotDNA,NotRNA
7,4,0,3,0,3,11,0,2,5,9,7,0,2,1,3,0,3,2,0,12,0,3,1338,nonDRNA,NotDNA,NotRNA
28,17,9,16,0,17,24,0,9,14,15,11,2,9,8,6,5,10,4,0,15,4,6,1339,nonDRNA,NotDNA,NotRNA
84,33,35,58,0,52,67,0,44,27,43,62,10,39,31,8,6,37,19,0,37,10,35,1340,nonDRNA,NotDNA,NotRNA
143,49,107,150,0,96,138,0,106,89,139,225,19,47,47,31,5,94,32,0,114,43,59,1341,nonDRNA,NotDNA,NotRNA
13,12,9,15,0,26,15,0,14,13,20,16,3,8,22,3,2,4,24,0,11,9,9,1342,nonDRNA,NotDNA,NotRNA
13,13,9,15,0,26,14,0,14,13,20,16,3,8,22,3,2,4,24,0,11,9,9,1343,nonDRNA,NotDNA,NotRNA
5,7,1,7,0,10,7,0,4,2,11,8,6,2,0,5,12,2,6,0,8,3,7,1344,nonDRNA,NotDNA,NotRNA
9,14,3,13,0,7,22,0,13,10,10,11,2,6,4,2,2,5,6,0,14,5,7,1345,nonDRNA,NotDNA,NotRNA
29,21,7,31,0,15,25,0,15,20,23,31,1,15,6,11,3,22,9,0,19,5,14,1346,nonDRNA,NotDNA,NotRNA
30,11,15,17,0,10,15,0,14,6,23,19,4,8,8,8,2,17,9,0,12,6,14,1347,nonDRNA,NotDNA,NotRNA
32,12,14,17,0,12,17,0,14,7,20,19,4,7,8,8,2,19,6,0,12,7,11,1348,nonDRNA,NotDNA,NotRNA
4,4,7,5,0,4,3,0,1,7,2,2,0,4,7,3,4,5,5,0,6,3,3,1349,nonDRNA,NotDNA,NotRNA
56,15,17,40,0,21,27,0,22,14,34,52,3,13,9,13,7,24,21,0,25,10,15,1350,nonDRNA,NotDNA,NotRNA
27,5,19,38,0,16,7,0,13,26,15,36,18,25,15,7,5,16,6,0,12,10,8,1351,nonDRNA,NotDNA,NotRNA
24,16,11,9,0,20,24,0,17,14,14,14,4,7,12,7,5,13,13,0,7,6,13,1352,nonDRNA,NotDNA,NotRNA
90,43,80,36,0,74,52,0,25,28,44,57,7,20,8,10,8,33,30,0,32,12,34,1353,nonDRNA,NotDNA,NotRNA
23,18,7,9,0,17,25,0,17,15,10,25,2,8,14,7,2,8,13,0,17,1,10,1354,nonDRNA,NotDNA,NotRNA
12,16,0,12,0,7,14,0,1,9,9,10,0,9,4,3,0,3,5,0,13,1,6,1355,nonDRNA,NotDNA,NotRNA
66,35,27,32,0,40,30,0,26,27,38,29,8,21,12,13,11,23,17,0,28,15,21,1356,nonDRNA,NotDNA,NotRNA
33,14,18,13,0,21,18,0,18,22,13,22,5,15,8,5,2,9,7,0,14,10,11,1357,nonDRNA,NotDNA,NotRNA
25,4,39,26,0,30,22,0,22,14,14,19,4,11,6,2,11,22,12,0,16,12,15,1358,nonDRNA,NotDNA,NotRNA
21,4,32,25,0,31,24,0,19,13,15,20,3,12,6,2,11,19,15,0,14,10,17,1359,nonDRNA,NotDNA,NotRNA
20,11,8,9,0,13,22,0,14,8,14,19,2,5,5,4,3,8,4,0,9,4,23,1360,nonDRNA,NotDNA,NotRNA
31,5,14,21,0,15,14,0,19,12,15,20,0,11,5,5,9,18,6,0,13,10,11,1361,nonDRNA,NotDNA,NotRNA
30,20,14,11,0,14,28,0,17,21,15,19,2,14,12,6,4,12,15,0,14,10,12,1362,nonDRNA,NotDNA,NotRNA
19,20,13,22,0,13,21,0,15,24,20,29,4,16,11,5,4,12,12,0,20,9,12,1363,nonDRNA,NotDNA,NotRNA
53,43,29,24,0,35,34,0,24,23,30,28,8,19,17,13,6,23,21,0,33,14,21,1364,nonDRNA,NotDNA,NotRNA
7,15,8,19,0,13,17,0,9,15,9,22,9,11,3,2,4,12,11,0,15,7,7,1365,nonDRNA,NotDNA,NotRNA
56,72,34,52,0,77,71,0,49,25,30,34,7,41,26,7,51,60,27,0,30,66,56,1366,nonDRNA,NotDNA,NotRNA
26,11,13,22,0,11,20,0,20,5,18,24,5,12,9,3,4,4,3,0,14,4,3,1367,nonDRNA,NotDNA,NotRNA
70,32,32,50,0,40,58,0,39,32,57,40,13,25,23,11,20,34,35,0,38,13,25,1368,nonDRNA,NotDNA,NotRNA
42,31,32,52,0,52,40,0,26,38,17,41,2,7,7,11,6,25,19,0,33,6,20,1369,nonDRNA,NotDNA,NotRNA
18,14,19,18,0,14,29,0,7,14,23,16,5,12,7,5,4,13,5,0,12,5,6,1370,nonDRNA,NotDNA,NotRNA
12,9,5,6,0,13,15,0,3,11,5,8,4,4,6,1,0,11,6,0,7,6,2,1371,nonDRNA,NotDNA,NotRNA
15,11,3,16,0,9,19,0,3,7,13,13,3,7,9,1,2,9,10,0,13,1,6,1372,nonDRNA,NotDNA,NotRNA
45,22,46,36,0,48,59,0,40,24,23,36,3,15,8,9,25,25,33,0,29,17,39,1373,nonDRNA,NotDNA,NotRNA
14,7,9,13,0,8,21,0,14,14,13,6,4,12,7,4,2,6,8,0,16,3,4,1374,nonDRNA,NotDNA,NotRNA
67,3,13,28,0,8,8,0,10,4,9,38,14,15,7,3,0,8,5,0,2,6,5,1375,nonDRNA,NotDNA,NotRNA
19,11,7,15,0,9,13,0,7,5,4,8,1,6,8,2,3,12,8,0,6,5,6,1376,nonDRNA,NotDNA,NotRNA
18,12,8,14,0,10,12,0,6,6,5,6,1,6,8,2,3,12,8,0,7,5,6,1377,nonDRNA,NotDNA,NotRNA
20,13,7,14,0,9,12,0,5,6,4,6,1,8,7,2,3,13,7,0,7,5,6,1378,nonDRNA,NotDNA,NotRNA
89,59,49,60,0,92,72,0,44,32,58,56,15,36,39,22,25,46,40,0,60,25,43,1379,nonDRNA,NotDNA,NotRNA
49,12,24,43,0,27,34,0,38,16,35,57,10,10,8,16,1,29,3,0,31,13,10,1380,nonDRNA,NotDNA,NotRNA
49,18,28,44,0,49,30,0,23,22,39,52,7,24,17,13,13,22,15,0,25,15,31,1381,nonDRNA,NotDNA,NotRNA
17,4,8,14,0,11,13,0,2,7,11,10,3,6,5,3,1,8,6,0,9,2,9,1382,nonDRNA,NotDNA,NotRNA
56,9,25,36,0,30,23,0,29,15,35,59,3,17,9,10,6,22,12,0,25,13,24,1383,nonDRNA,NotDNA,NotRNA
10,11,1,8,0,7,14,0,7,11,5,7,2,2,6,4,0,4,8,0,4,1,4,1384,nonDRNA,NotDNA,NotRNA
21,10,18,18,0,5,39,0,27,16,15,16,1,4,15,7,1,11,5,0,16,7,6,1385,nonDRNA,NotDNA,NotRNA
26,27,23,35,0,12,26,0,9,22,36,31,5,15,11,8,5,16,10,0,15,10,8,1386,nonDRNA,NotDNA,NotRNA
30,24,12,10,0,12,20,0,12,15,10,16,1,10,10,8,1,4,7,0,12,3,5,1387,nonDRNA,NotDNA,NotRNA
30,23,11,10,0,15,20,0,11,16,9,14,1,10,10,8,0,4,7,0,12,3,8,1388,nonDRNA,NotDNA,NotRNA
35,16,13,42,0,21,22,0,30,23,29,55,6,14,6,11,5,19,6,0,19,7,15,1389,nonDRNA,NotDNA,NotRNA
54,35,30,32,0,48,31,0,32,29,39,33,4,21,21,20,10,23,16,0,35,22,17,1390,nonDRNA,NotDNA,NotRNA
29,9,4,10,0,12,18,0,21,12,6,16,1,10,3,7,1,12,4,0,10,2,11,1391,nonDRNA,NotDNA,NotRNA
35,24,21,20,0,8,32,0,19,12,30,29,4,6,12,7,0,10,6,0,14,4,8,1392,nonDRNA,NotDNA,NotRNA
34,18,14,37,0,16,22,0,17,15,26,30,4,12,16,9,7,16,15,0,16,8,16,1393,nonDRNA,NotDNA,NotRNA
59,50,43,21,0,48,49,0,29,22,40,50,7,23,17,8,29,35,24,0,21,23,32,1394,nonDRNA,NotDNA,NotRNA
25,27,9,16,0,18,20,0,14,7,18,19,2,10,7,5,15,10,10,0,16,11,9,1395,nonDRNA,NotDNA,NotRNA
21,11,6,17,0,2,20,0,17,18,15,40,0,5,3,9,4,15,6,0,16,9,9,1396,nonDRNA,NotDNA,NotRNA
39,20,29,39,0,26,33,0,29,25,32,26,15,24,21,10,7,30,25,0,24,12,14,1397,nonDRNA,NotDNA,NotRNA
338,166,161,215,0,245,251,1,110,195,227,224,48,120,104,46,23,168,135,0,119,74,225,1398,nonDRNA,NotDNA,NotRNA
38,12,24,29,0,30,24,0,15,18,21,26,3,12,14,12,6,24,16,0,17,9,21,1399,nonDRNA,NotDNA,NotRNA
72,51,58,62,0,61,72,0,42,39,56,57,9,37,27,24,16,37,25,0,63,17,33,1400,nonDRNA,NotDNA,NotRNA
17,14,14,14,0,14,13,0,10,14,14,24,2,9,11,9,11,12,13,0,14,6,9,1401,nonDRNA,NotDNA,NotRNA
24,14,17,31,0,5,30,0,19,20,21,30,2,17,12,13,4,22,9,0,16,10,10,1402,nonDRNA,NotDNA,NotRNA
41,29,15,21,0,20,35,0,25,26,36,26,0,24,10,15,8,15,16,0,32,11,23,1403,nonDRNA,NotDNA,NotRNA
32,32,24,40,0,34,28,0,20,49,47,43,0,13,19,13,3,28,24,0,39,12,11,1404,nonDRNA,NotDNA,NotRNA
171,116,275,167,0,211,105,0,97,76,120,181,14,49,42,98,49,134,129,0,77,65,265,1405,nonDRNA,NotDNA,NotRNA
42,31,26,52,0,35,43,0,30,34,52,74,4,22,16,17,4,31,27,0,38,10,23,1406,nonDRNA,NotDNA,NotRNA
44,25,26,28,0,34,32,0,18,14,15,29,3,19,11,10,11,16,5,0,24,8,17,1407,nonDRNA,NotDNA,NotRNA
75,30,111,55,0,58,54,0,53,31,44,84,6,22,17,18,8,34,14,0,45,16,41,1408,nonDRNA,NotDNA,NotRNA
25,12,19,20,0,11,24,0,22,10,12,25,6,13,12,9,3,11,4,0,18,5,4,1409,nonDRNA,NotDNA,NotRNA
48,40,35,36,0,36,41,0,25,26,40,68,6,14,11,13,9,25,17,0,31,10,25,1410,nonDRNA,NotDNA,NotRNA
81,61,75,51,0,54,62,0,51,38,47,60,7,34,29,21,17,46,26,0,27,17,33,1411,nonDRNA,NotDNA,NotRNA
10,10,6,7,0,11,10,0,10,10,9,11,1,6,7,4,8,7,8,0,11,3,9,1412,nonDRNA,NotDNA,NotRNA
16,19,10,11,0,15,22,0,9,10,15,13,3,5,9,4,1,10,6,0,15,3,8,1413,nonDRNA,NotDNA,NotRNA
7,2,1,2,0,2,3,0,1,2,2,6,3,3,2,3,0,2,0,0,2,2,2,1414,nonDRNA,NotDNA,NotRNA
57,21,41,61,0,24,41,0,49,24,43,57,25,22,32,16,5,26,10,0,44,10,23,1415,nonDRNA,NotDNA,NotRNA
25,19,23,40,0,7,22,0,10,17,35,46,5,14,13,12,1,29,13,0,19,15,11,1416,nonDRNA,NotDNA,NotRNA
28,34,15,21,0,25,26,0,22,32,22,26,2,26,16,9,5,12,14,0,32,7,11,1417,nonDRNA,NotDNA,NotRNA
11,10,4,6,0,11,15,0,4,8,9,9,4,2,6,3,0,10,3,0,10,6,3,1418,nonDRNA,NotDNA,NotRNA
64,43,17,39,0,23,48,0,33,30,40,32,2,16,17,10,10,16,9,0,33,3,24,1419,nonDRNA,NotDNA,NotRNA
10,2,9,7,0,2,10,0,11,1,2,8,3,3,4,5,3,3,3,0,2,7,4,1420,nonDRNA,NotDNA,NotRNA
49,24,66,49,0,78,61,0,39,20,34,58,4,28,21,9,15,38,16,0,47,22,30,1421,nonDRNA,NotDNA,NotRNA
56,98,120,36,0,60,108,0,69,42,54,119,13,33,18,39,4,70,19,0,51,15,76,1422,nonDRNA,NotDNA,NotRNA
4,2,1,1,0,3,4,0,1,3,5,7,3,4,0,1,0,3,0,0,1,2,1,1423,nonDRNA,NotDNA,NotRNA
38,36,25,36,0,42,57,0,29,36,51,68,1,17,12,4,0,42,21,0,41,11,11,1424,nonDRNA,NotDNA,NotRNA
16,11,4,10,0,10,16,0,5,13,13,11,5,13,4,6,2,5,6,0,6,4,12,1425,nonDRNA,NotDNA,NotRNA
65,79,19,27,0,57,80,0,19,46,42,38,5,26,24,16,4,42,33,0,47,8,23,1426,nonDRNA,NotDNA,NotRNA
27,21,6,21,0,17,20,0,16,4,23,17,2,14,5,4,4,7,8,0,14,5,7,1427,nonDRNA,NotDNA,NotRNA
87,126,45,69,0,66,86,0,34,52,60,69,13,31,33,22,16,53,37,0,54,19,39,1428,nonDRNA,NotDNA,NotRNA
48,21,56,59,0,88,37,0,54,26,43,49,8,22,15,16,9,41,22,0,42,18,21,1429,nonDRNA,NotDNA,NotRNA
49,20,75,58,0,100,43,0,48,27,49,45,6,23,21,24,6,36,25,0,42,20,19,1430,nonDRNA,NotDNA,NotRNA
57,35,45,65,0,36,73,0,33,30,31,64,21,24,18,21,0,36,36,0,71,9,26,1431,nonDRNA,NotDNA,NotRNA
58,37,26,21,0,29,53,0,42,21,31,34,8,19,13,4,18,34,12,0,24,15,19,1432,nonDRNA,NotDNA,NotRNA
25,16,17,25,0,17,19,0,12,26,27,35,2,7,5,9,3,21,16,0,19,8,11,1433,nonDRNA,NotDNA,NotRNA
25,49,26,28,0,48,39,0,22,18,46,25,2,7,14,6,7,34,17,0,37,18,19,1434,nonDRNA,NotDNA,NotRNA
11,12,5,7,0,10,10,0,9,10,10,9,1,6,8,4,8,6,9,0,12,3,8,1435,nonDRNA,NotDNA,NotRNA
41,15,22,21,0,14,20,0,28,11,36,20,6,20,14,13,6,17,7,0,15,12,16,1436,nonDRNA,NotDNA,NotRNA
8,2,10,10,0,7,8,0,6,2,13,14,2,5,3,3,0,7,3,0,4,2,4,1437,nonDRNA,NotDNA,NotRNA
18,25,21,34,0,13,32,0,6,36,29,35,3,11,11,8,3,18,9,0,26,5,6,1438,nonDRNA,NotDNA,NotRNA
32,32,6,9,0,31,35,0,10,26,20,24,6,29,8,6,7,8,27,0,15,8,10,1439,nonDRNA,NotDNA,NotRNA
72,48,49,65,0,53,42,0,39,40,56,65,7,27,23,13,10,27,19,0,26,15,26,1440,nonDRNA,NotDNA,NotRNA
38,2,12,36,0,19,11,0,12,16,17,31,20,26,9,12,0,13,13,0,6,7,8,1441,nonDRNA,NotDNA,NotRNA
35,26,42,46,0,18,35,0,29,22,39,35,9,34,21,14,7,23,20,0,43,16,12,1442,nonDRNA,NotDNA,NotRNA
8,12,1,9,0,6,7,0,1,7,5,19,0,10,0,2,1,3,2,0,13,1,2,1443,nonDRNA,NotDNA,NotRNA
99,91,44,33,0,66,116,0,70,35,41,64,7,24,16,31,12,37,35,0,51,23,73,1444,nonDRNA,NotDNA,NotRNA
65,26,26,50,0,32,31,0,22,24,44,54,6,15,3,13,13,35,19,0,20,8,27,1445,nonDRNA,NotDNA,NotRNA
9,15,0,12,0,4,14,0,6,7,11,6,2,8,4,4,0,10,10,0,7,1,2,1446,nonDRNA,NotDNA,NotRNA
10,14,0,10,0,5,13,0,7,7,11,6,2,8,4,3,0,10,11,0,8,1,2,1447,nonDRNA,NotDNA,NotRNA
116,29,21,33,0,63,30,0,13,42,23,24,6,41,9,9,19,41,52,0,28,29,33,1448,nonDRNA,NotDNA,NotRNA
53,41,22,34,0,44,62,0,38,33,42,41,11,34,21,12,8,32,28,0,29,14,24,1449,nonDRNA,NotDNA,NotRNA
25,20,22,27,0,13,26,0,19,13,23,24,5,24,19,6,5,13,7,0,18,6,10,1450,nonDRNA,NotDNA,NotRNA
29,26,12,21,0,10,15,0,4,13,31,26,1,9,10,1,1,9,15,0,21,2,15,1451,nonDRNA,NotDNA,NotRNA
39,25,33,32,0,34,24,0,22,22,30,39,6,19,13,16,3,29,15,0,33,4,13,1452,nonDRNA,NotDNA,NotRNA
19,13,10,18,0,13,12,0,4,11,6,13,9,11,8,4,4,9,15,0,9,8,3,1453,nonDRNA,NotDNA,NotRNA
21,13,28,34,0,23,17,0,9,20,26,43,3,29,0,9,8,22,12,0,25,10,19,1454,nonDRNA,NotDNA,NotRNA
50,39,38,86,0,32,54,0,48,43,54,81,14,29,31,28,10,50,48,0,54,23,33,1455,nonDRNA,NotDNA,NotRNA
9,1,3,6,0,1,3,0,2,11,6,15,0,3,0,2,0,5,0,0,0,0,2,1456,nonDRNA,NotDNA,NotRNA
33,18,8,22,0,22,20,0,11,18,24,32,3,14,16,14,3,12,12,0,7,6,5,1457,nonDRNA,NotDNA,NotRNA
37,7,35,46,0,18,10,0,21,16,32,62,3,9,11,9,3,26,16,0,24,9,11,1458,nonDRNA,NotDNA,NotRNA
31,20,20,24,0,20,16,0,12,25,17,25,2,17,19,5,1,15,35,0,14,7,13,1459,nonDRNA,NotDNA,NotRNA
19,14,14,25,0,22,9,0,3,11,29,22,9,11,2,5,11,21,8,0,14,2,12,1460,nonDRNA,NotDNA,NotRNA
37,31,24,34,0,27,26,0,15,27,24,33,15,31,24,6,6,24,18,0,32,10,25,1461,nonDRNA,NotDNA,NotRNA
36,33,30,38,0,32,37,0,18,37,41,49,13,21,10,6,11,27,14,0,25,6,13,1462,nonDRNA,NotDNA,NotRNA
29,7,28,36,0,29,15,0,9,13,31,44,2,27,1,7,8,20,11,0,20,6,18,1463,nonDRNA,NotDNA,NotRNA
27,6,20,25,0,24,22,0,20,24,30,27,6,12,12,4,1,20,8,0,24,8,10,1464,nonDRNA,NotDNA,NotRNA
23,7,35,28,0,29,9,0,20,18,30,16,4,27,9,9,6,21,18,0,10,13,23,1465,nonDRNA,NotDNA,NotRNA
7,15,3,10,0,7,11,0,4,11,9,6,1,5,2,4,2,15,3,0,5,1,5,1466,nonDRNA,NotDNA,NotRNA
18,0,4,27,0,23,3,0,0,4,15,18,1,9,10,2,0,13,11,0,14,6,10,1467,nonDRNA,NotDNA,NotRNA
15,11,5,7,0,10,9,0,4,6,11,17,0,5,5,2,5,9,1,0,6,8,5,1468,nonDRNA,NotDNA,NotRNA
5,14,3,12,0,8,11,0,3,9,11,7,1,5,5,3,1,10,6,0,6,3,5,1469,nonDRNA,NotDNA,NotRNA
18,12,9,16,0,6,9,0,4,5,14,24,6,13,8,2,0,12,15,0,13,6,8,1470,nonDRNA,NotDNA,NotRNA
26,31,11,20,0,24,20,0,9,16,28,30,1,17,6,9,1,24,10,0,16,8,7,1471,nonDRNA,NotDNA,NotRNA
69,72,55,52,0,92,70,0,56,43,62,49,13,37,26,22,23,43,38,0,51,30,38,1472,nonDRNA,NotDNA,NotRNA
119,71,69,73,0,92,113,0,88,54,70,84,19,66,51,31,25,53,49,0,74,31,59,1473,nonDRNA,NotDNA,NotRNA
65,60,21,15,0,26,77,0,41,29,22,52,6,23,15,24,4,27,18,0,30,10,30,1474,nonDRNA,NotDNA,NotRNA
135,69,81,73,0,91,116,0,93,44,66,88,7,42,28,26,14,58,47,0,66,18,72,1475,nonDRNA,NotDNA,NotRNA
32,3,8,24,0,10,15,0,19,5,10,21,1,8,5,4,1,6,2,0,9,7,5,1476,nonDRNA,NotDNA,NotRNA
162,82,96,87,0,143,148,0,127,70,110,117,17,56,56,39,28,95,63,0,90,39,65,1477,nonDRNA,NotDNA,NotRNA
41,15,19,33,0,25,33,0,22,11,33,19,9,11,12,7,23,26,15,0,16,14,16,1478,nonDRNA,NotDNA,NotRNA
23,16,11,17,0,20,16,0,15,16,21,14,0,13,8,2,3,14,10,0,17,5,20,1479,nonDRNA,NotDNA,NotRNA
11,5,8,12,0,2,8,0,12,11,12,24,5,7,2,9,1,15,7,0,12,5,6,1480,nonDRNA,NotDNA,NotRNA
43,28,25,17,0,29,33,0,19,28,22,27,9,14,13,12,16,25,15,0,27,11,29,1481,nonDRNA,NotDNA,NotRNA
20,21,10,15,0,9,19,0,9,14,15,15,2,4,8,8,1,11,4,0,13,10,3,1482,nonDRNA,NotDNA,NotRNA
41,29,14,18,0,17,39,0,26,20,24,21,2,29,25,13,7,26,13,0,26,8,21,1483,nonDRNA,NotDNA,NotRNA
29,20,11,21,0,12,18,0,9,8,19,32,6,9,5,3,2,5,2,0,14,2,3,1484,nonDRNA,NotDNA,NotRNA
19,16,8,16,0,16,15,0,10,11,18,20,4,12,4,2,4,8,11,0,14,6,11,1485,nonDRNA,NotDNA,NotRNA
37,13,17,37,0,23,14,0,18,22,25,42,4,21,29,6,3,44,34,0,17,4,27,1486,nonDRNA,NotDNA,NotRNA
50,10,24,20,0,31,19,0,20,17,17,27,8,15,12,8,2,13,15,0,19,18,16,1487,nonDRNA,NotDNA,NotRNA
68,41,24,52,0,39,70,0,40,46,29,45,16,38,21,11,15,37,26,0,46,10,26,1488,nonDRNA,NotDNA,NotRNA
10,5,2,5,0,5,9,0,7,4,6,11,2,8,1,3,1,4,6,0,5,6,4,1489,nonDRNA,NotDNA,NotRNA
14,7,16,24,0,14,11,0,17,18,28,40,4,6,3,10,2,16,7,0,22,6,8,1490,nonDRNA,NotDNA,NotRNA
66,14,26,41,0,36,17,0,29,16,35,44,8,23,18,8,11,34,14,0,19,11,25,1491,nonDRNA,NotDNA,NotRNA
64,14,27,41,0,36,17,0,29,16,35,43,8,24,18,8,11,35,14,0,19,11,25,1492,nonDRNA,NotDNA,NotRNA
30,22,12,13,0,12,18,0,13,14,9,18,1,10,9,8,1,5,8,0,11,2,6,1493,nonDRNA,NotDNA,NotRNA
29,22,12,11,0,8,16,0,13,12,11,18,1,10,8,9,2,7,6,0,14,3,11,1494,nonDRNA,NotDNA,NotRNA
32,22,12,11,0,7,17,0,13,10,13,16,1,10,8,8,2,8,6,0,14,4,8,1495,nonDRNA,NotDNA,NotRNA
22,12,7,12,0,6,12,0,8,11,12,18,3,5,1,6,1,9,3,0,15,6,6,1496,nonDRNA,NotDNA,NotRNA
32,19,13,19,0,18,23,0,13,11,27,27,0,7,6,9,6,11,8,0,18,9,9,1497,nonDRNA,NotDNA,NotRNA
58,38,54,60,0,41,40,0,45,28,46,36,9,44,20,16,22,34,18,0,43,22,23,1498,nonDRNA,NotDNA,NotRNA
24,26,9,39,0,16,20,0,7,33,25,22,0,16,11,14,3,20,18,0,24,8,12,1499,nonDRNA,NotDNA,NotRNA
27,10,11,27,0,17,16,0,12,19,17,34,4,8,6,10,1,15,8,0,13,4,10,1500,nonDRNA,NotDNA,NotRNA
49,15,13,29,0,23,25,0,24,21,24,44,3,15,7,6,3,25,24,0,21,23,29,1501,nonDRNA,NotDNA,NotRNA
16,9,14,6,0,5,11,0,9,11,7,17,3,5,4,4,1,7,7,0,8,2,6,1502,nonDRNA,NotDNA,NotRNA
26,21,11,17,0,21,13,0,9,19,19,14,7,17,15,7,5,18,27,0,17,7,14,1503,nonDRNA,NotDNA,NotRNA
7,4,3,9,0,3,3,0,4,6,3,4,0,3,3,1,1,2,2,0,6,1,0,1504,nonDRNA,NotDNA,NotRNA
9,4,5,9,0,6,1,0,4,2,6,18,0,1,3,4,8,4,1,0,2,2,7,1505,nonDRNA,NotDNA,NotRNA
54,54,31,42,0,37,50,0,24,31,39,39,23,26,15,14,17,59,41,0,32,12,32,1506,nonDRNA,NotDNA,NotRNA
83,40,52,66,0,50,38,0,60,38,57,68,13,25,30,27,2,40,35,0,52,5,63,1507,nonDRNA,NotDNA,NotRNA
24,11,30,26,0,28,24,0,21,13,22,16,5,10,11,2,1,8,14,0,16,6,16,1508,nonDRNA,NotDNA,NotRNA
42,38,16,26,0,28,45,0,16,26,22,37,1,23,15,5,3,22,31,0,19,5,15,1509,nonDRNA,NotDNA,NotRNA
11,12,4,12,0,7,20,0,7,13,9,22,0,4,8,6,1,12,7,0,10,6,8,1510,nonDRNA,NotDNA,NotRNA
80,47,95,61,0,93,55,0,47,37,36,58,10,33,22,23,23,46,30,0,50,22,38,1511,nonDRNA,NotDNA,NotRNA
26,18,21,26,0,14,15,0,13,15,23,42,6,7,6,12,3,7,6,0,19,9,9,1512,nonDRNA,NotDNA,NotRNA
