,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,TYPE
1173,48,0,8,13,30,11,33,9,9,0,7,47,9,5,0,22,20,31,30,17,0,31,1,0,11,0,nonDRNA
1174,52,0,13,39,42,33,56,20,43,0,41,68,18,27,0,51,41,40,78,39,0,40,8,0,17,0,nonDRNA
1175,33,0,10,19,20,16,23,9,12,0,16,48,8,14,0,20,19,27,27,16,0,29,7,0,11,0,nonDRNA
1176,38,0,3,25,36,32,40,21,33,0,38,53,14,29,0,23,25,24,34,36,0,30,12,0,12,0,nonDRNA
1177,40,0,4,27,32,28,41,21,32,0,35,53,15,28,0,22,29,27,29,37,0,32,12,0,14,0,nonDRNA
1178,42,0,4,24,35,28,40,21,34,0,41,56,15,30,0,24,24,20,34,32,0,29,12,0,13,0,nonDRNA
1179,26,0,2,5,1,2,16,7,5,0,3,24,2,2,0,8,3,8,11,10,0,11,3,0,8,0,nonDRNA
1180,48,0,7,16,32,17,41,5,29,0,26,29,11,13,0,17,21,26,16,25,0,20,5,0,17,0,nonDRNA
1181,35,0,8,9,17,9,30,4,18,0,23,32,12,12,0,14,12,9,25,17,0,30,1,0,8,0,nonDRNA
1182,17,0,0,7,14,10,13,6,13,0,10,18,4,3,0,12,2,18,8,8,0,13,3,0,10,0,nonDRNA
1183,47,0,3,25,20,11,25,7,3,0,2,38,6,8,0,29,9,31,13,22,0,25,6,0,3,0,nonDRNA
1184,36,0,3,15,17,12,28,8,20,0,8,21,5,10,0,18,5,18,17,22,0,22,3,0,11,0,nonDRNA
1185,15,0,2,13,23,10,12,2,8,0,23,15,5,7,0,3,7,12,16,9,0,17,1,0,6,0,nonDRNA
1186,78,0,8,52,64,39,63,24,45,0,45,82,17,29,0,62,38,60,76,52,0,65,18,0,32,0,nonDRNA
1187,35,0,3,13,22,11,27,7,17,0,6,21,6,9,0,20,5,19,17,22,0,23,3,0,13,0,nonDRNA
1188,44,0,13,30,39,22,29,22,37,0,42,39,4,23,0,19,24,26,31,32,0,31,7,0,16,0,nonDRNA
1189,44,0,11,27,36,22,27,22,34,0,38,38,4,21,0,17,21,24,26,28,0,28,7,0,15,0,nonDRNA
1190,85,0,19,71,121,78,64,42,91,0,79,152,39,72,0,88,73,87,71,93,0,92,15,0,53,0,nonDRNA
1191,39,0,12,26,42,29,32,15,27,0,22,48,13,26,0,39,15,32,29,25,0,32,4,0,17,0,nonDRNA
1192,17,0,11,19,13,11,17,7,1,0,9,17,5,4,0,13,7,25,7,9,0,4,5,0,3,0,nonDRNA
1193,47,0,4,35,19,25,56,6,22,0,40,38,10,29,0,23,25,11,28,34,0,35,14,0,20,0,nonDRNA
1194,53,0,14,33,30,32,45,13,38,0,43,46,16,38,0,36,26,34,57,48,0,52,6,0,18,0,nonDRNA
1195,42,0,26,41,62,26,47,25,32,0,73,72,16,35,0,48,32,41,100,47,0,46,8,0,16,0,nonDRNA
1196,28,0,4,18,19,16,23,13,12,0,13,25,4,6,0,20,11,18,25,10,0,18,7,0,7,0,nonDRNA
1197,30,0,18,25,31,18,30,19,10,0,27,61,13,12,0,23,25,23,26,22,0,26,2,0,11,0,nonDRNA
1198,26,0,5,17,28,6,7,7,11,0,35,34,7,11,0,23,6,18,24,22,0,21,6,0,11,0,nonDRNA
1199,51,0,7,29,27,23,44,10,19,0,21,74,16,34,0,39,24,27,42,32,0,31,18,0,26,0,nonDRNA
1200,29,0,9,21,38,13,27,13,22,0,43,37,5,14,0,27,20,21,30,23,0,31,9,0,26,0,nonDRNA
1201,17,0,3,15,12,11,14,6,10,0,18,18,4,10,0,12,9,9,4,11,0,22,3,0,8,0,nonDRNA
1202,59,0,7,18,33,25,36,11,14,0,20,38,16,12,0,27,19,28,19,13,0,31,5,0,19,0,nonDRNA
1203,14,0,7,12,12,5,6,9,6,0,14,17,5,4,0,8,1,4,4,4,0,11,2,0,4,0,nonDRNA
1204,43,0,20,30,38,29,40,19,31,0,32,66,10,20,0,39,34,30,51,40,0,35,12,0,19,0,nonDRNA
1205,19,0,5,15,10,4,21,3,10,0,6,20,6,6,0,3,4,15,14,13,0,10,1,0,1,0,nonDRNA
1206,23,0,1,10,19,16,20,6,15,0,22,28,8,11,0,13,13,10,19,9,0,15,6,0,10,0,nonDRNA
1207,30,0,3,19,19,10,14,7,12,0,18,33,6,7,0,14,9,14,5,15,0,18,0,0,6,0,nonDRNA
1208,228,0,68,102,97,66,177,47,105,0,81,232,47,50,0,155,70,124,170,171,0,178,44,0,72,0,nonDRNA
1209,6,0,0,5,2,3,5,1,2,0,6,8,3,4,0,12,2,2,5,1,0,11,2,0,4,0,nonDRNA
1210,74,0,1,25,43,14,36,8,25,0,10,63,17,13,0,19,15,47,25,22,0,23,5,0,7,0,nonDRNA
1211,51,0,13,25,30,14,35,15,17,0,14,50,9,17,0,19,22,32,37,26,0,32,5,0,17,0,nonDRNA
1212,30,0,5,17,21,9,17,9,14,0,18,37,5,12,0,25,14,18,15,15,0,25,6,0,13,0,nonDRNA
1213,27,0,6,23,19,16,23,9,16,0,17,34,4,24,0,18,4,21,25,8,0,32,7,0,12,0,nonDRNA
1214,11,0,1,8,4,11,22,3,12,0,11,6,2,4,0,4,4,1,12,13,0,11,2,0,5,0,nonDRNA
1215,39,0,8,14,19,12,25,3,17,0,15,30,7,15,0,12,14,9,21,25,0,28,1,0,8,0,nonDRNA
1216,20,0,3,8,14,5,16,3,5,0,3,15,3,1,0,7,10,12,12,4,0,13,2,0,7,0,nonDRNA
1217,37,0,4,24,21,21,32,7,19,0,21,34,11,20,0,20,15,26,27,23,0,29,9,0,12,0,nonDRNA
1218,46,0,7,36,25,16,38,8,45,0,31,42,14,26,0,24,15,29,45,20,0,31,3,0,20,0,nonDRNA
1219,17,0,6,11,14,5,16,8,9,0,13,24,4,6,0,31,14,21,16,12,0,15,5,0,11,0,nonDRNA
1220,26,0,2,7,21,11,19,2,15,0,15,20,4,7,0,12,2,8,19,10,0,14,1,0,7,0,nonDRNA
1221,65,0,9,59,57,26,65,21,44,0,37,100,11,53,0,55,42,40,80,62,0,75,5,0,26,0,nonDRNA
1222,42,0,21,46,41,32,58,21,30,0,49,77,13,22,0,55,30,64,91,47,0,38,8,0,13,0,nonDRNA
1223,17,0,7,9,15,11,17,2,7,0,13,21,2,3,0,13,13,8,8,7,0,13,2,0,6,0,nonDRNA
1224,16,0,4,11,14,4,22,6,3,0,3,17,4,5,0,13,6,14,11,9,0,17,2,0,2,0,nonDRNA
1225,53,0,20,59,62,39,50,28,67,0,83,81,28,33,0,40,33,43,61,44,0,46,10,0,31,0,nonDRNA
1226,160,0,29,67,73,26,117,68,43,0,67,144,22,61,0,80,48,59,85,60,0,75,4,0,32,0,nonDRNA
1227,8,0,0,5,4,2,2,1,6,0,6,7,3,5,0,2,4,14,6,4,0,7,0,0,5,0,nonDRNA
1228,12,0,3,6,3,3,15,5,9,0,3,18,5,12,0,10,4,4,15,10,0,15,3,0,5,0,nonDRNA
1229,33,0,1,11,15,16,33,3,7,0,13,26,7,10,0,18,4,9,20,10,0,18,6,0,7,0,nonDRNA
1230,39,0,13,39,38,22,43,14,39,0,34,51,5,24,0,33,22,31,56,24,0,56,4,0,20,0,nonDRNA
1231,64,0,11,33,52,22,42,25,38,0,40,45,17,25,0,34,22,31,34,39,0,38,11,0,21,0,nonDRNA
1232,55,0,12,23,31,15,34,13,20,0,15,47,10,15,0,21,21,31,33,27,0,35,6,0,16,0,nonDRNA
1233,25,0,11,38,39,29,37,8,29,0,42,38,12,18,0,12,19,23,37,16,0,31,8,0,19,0,nonDRNA
1234,55,0,3,18,16,13,29,3,24,0,21,32,8,19,0,19,6,17,47,18,0,22,3,0,12,0,nonDRNA
1235,60,0,7,30,30,26,52,9,33,0,32,52,14,20,0,25,20,26,69,26,0,42,5,0,17,0,nonDRNA
1236,12,0,29,17,19,6,15,14,12,0,14,22,8,12,0,7,17,17,9,11,0,9,1,0,10,0,nonDRNA
1237,21,0,15,26,20,16,30,10,19,0,17,41,11,16,0,12,11,25,37,15,0,15,6,0,14,0,nonDRNA
1238,26,0,2,28,33,9,12,11,19,0,18,36,6,23,0,23,29,22,19,10,0,24,10,0,19,0,nonDRNA
1239,27,0,13,12,19,11,24,5,18,0,18,31,9,13,0,11,10,16,21,16,0,24,0,0,12,0,nonDRNA
1240,23,0,3,11,6,4,10,3,11,0,11,14,2,4,0,6,7,7,11,10,0,15,1,0,4,0,nonDRNA
1241,25,0,3,27,32,19,30,7,28,0,43,47,8,30,0,24,12,10,33,28,0,48,5,0,10,0,nonDRNA
1242,15,0,5,11,9,4,12,1,4,0,6,11,8,3,0,9,5,4,10,17,0,8,1,0,4,0,nonDRNA
1243,47,0,9,22,32,19,38,9,34,0,27,45,7,20,0,26,23,21,32,16,0,32,2,0,21,0,nonDRNA
1244,10,0,3,11,13,8,12,8,7,0,7,12,7,2,0,11,6,11,13,7,0,15,2,0,7,0,nonDRNA
1245,55,0,25,74,102,56,49,29,63,0,80,103,27,57,0,58,52,45,115,65,0,56,7,0,32,0,nonDRNA
1246,49,0,19,36,85,21,43,21,8,0,21,52,15,8,0,35,34,58,36,23,0,46,9,0,11,0,nonDRNA
1247,29,0,12,27,58,24,36,15,34,0,53,57,20,23,0,37,32,34,54,26,0,40,11,0,37,0,nonDRNA
1248,68,0,23,45,109,40,44,18,58,0,66,104,18,44,0,58,69,53,87,54,0,49,16,0,27,0,nonDRNA
1249,26,0,5,28,41,22,9,11,14,0,43,45,8,16,0,11,15,21,29,21,0,27,1,0,11,0,nonDRNA
1250,26,0,5,28,40,22,9,11,15,0,43,45,8,16,0,12,16,21,28,19,0,28,1,0,11,0,nonDRNA
1251,75,0,30,103,85,57,61,35,68,0,123,126,28,72,0,66,59,65,157,90,0,74,9,0,34,0,nonDRNA
1252,38,0,6,15,25,15,30,7,26,0,19,22,14,13,0,22,12,18,18,13,0,33,5,0,8,0,nonDRNA
1253,47,0,10,32,29,20,46,11,24,0,51,45,17,20,0,27,27,27,43,27,0,35,5,0,10,0,nonDRNA
1254,39,0,6,20,26,11,28,4,15,0,33,30,14,11,0,17,10,17,29,20,0,19,7,0,13,0,nonDRNA
1255,31,0,6,18,31,11,28,5,12,0,36,32,13,11,0,19,10,14,25,21,0,25,6,0,14,0,nonDRNA
1256,65,0,20,34,40,25,62,23,30,0,28,51,13,21,0,27,25,42,38,45,0,45,7,0,24,0,nonDRNA
1257,29,0,9,24,38,27,25,11,25,0,27,49,2,16,0,22,20,26,31,24,0,23,3,0,22,0,nonDRNA
1258,18,0,0,12,8,5,50,1,11,0,12,14,5,21,0,11,11,8,17,25,0,18,12,0,8,0,nonDRNA
1259,22,0,1,6,25,12,25,5,1,0,8,34,4,1,0,16,4,20,9,8,0,19,4,0,8,0,nonDRNA
1260,10,0,1,18,5,14,17,1,13,0,6,11,4,9,0,7,14,14,14,8,0,12,5,0,8,0,nonDRNA
1261,12,0,2,6,19,8,13,6,9,0,16,10,2,4,0,7,3,3,3,9,0,18,0,0,9,0,nonDRNA
1262,12,0,2,6,19,8,13,6,9,0,16,9,2,4,0,7,3,3,4,9,0,18,0,0,9,0,nonDRNA
1263,18,0,9,14,24,22,28,13,14,0,24,27,7,11,0,23,9,9,15,13,0,23,1,0,11,0,nonDRNA
1264,34,0,4,18,20,14,11,8,16,0,21,31,4,11,0,21,15,16,27,12,0,21,2,0,10,0,nonDRNA
1265,311,0,20,137,133,52,202,62,79,0,22,215,38,32,0,116,65,138,129,129,0,181,31,0,40,0,nonDRNA
1266,12,0,6,10,8,10,10,3,6,0,9,12,3,12,0,7,3,4,5,7,0,6,1,0,1,0,nonDRNA
1267,13,0,6,8,8,10,11,2,5,0,8,14,1,13,0,6,3,5,7,3,0,9,1,0,2,0,nonDRNA
1268,14,0,6,9,7,10,11,2,4,0,8,12,2,13,0,7,3,5,5,4,0,10,1,0,2,0,nonDRNA
1269,176,0,46,132,88,130,142,48,95,0,108,190,54,116,0,144,91,107,162,184,0,172,37,0,81,0,nonDRNA
1270,181,0,47,133,92,134,139,47,96,0,105,193,52,118,0,139,87,108,163,178,0,172,37,0,80,0,nonDRNA
1271,290,0,142,220,188,245,270,65,220,0,257,358,90,225,0,122,111,124,271,229,0,433,57,0,168,0,nonDRNA
1272,72,0,27,52,76,51,68,40,41,0,67,117,29,37,0,73,62,67,78,59,0,79,21,0,37,0,nonDRNA
1273,23,0,9,31,22,21,22,11,19,0,29,37,6,15,0,13,18,20,20,19,0,27,9,0,16,0,nonDRNA
1274,23,0,1,5,8,6,14,2,11,0,4,17,4,0,0,5,2,7,8,8,0,16,4,0,0,0,nonDRNA
1275,14,0,1,16,7,6,17,3,12,0,11,11,1,3,0,12,2,8,15,6,0,17,1,0,3,0,nonDRNA
1276,50,0,2,12,16,51,57,23,33,0,10,56,30,16,0,30,12,16,32,36,0,41,19,0,24,0,nonDRNA
1277,24,0,3,23,25,11,18,15,16,0,15,47,2,10,0,18,23,24,15,14,0,19,2,0,13,0,nonDRNA
1278,48,0,4,17,13,48,56,24,40,0,9,51,30,16,0,31,12,15,27,31,0,41,18,0,27,0,nonDRNA
1279,23,0,5,22,30,18,28,9,18,0,30,35,8,14,0,12,12,18,18,20,0,22,2,0,12,0,nonDRNA
1280,31,0,9,20,29,20,32,26,13,0,27,34,18,18,0,51,31,21,56,30,0,27,5,0,20,0,nonDRNA
1281,49,0,6,37,17,22,71,12,16,0,42,44,21,34,0,30,18,14,23,38,0,36,21,0,22,0,nonDRNA
1282,16,0,2,13,12,11,16,6,17,0,13,24,9,6,0,11,15,15,13,9,0,9,3,0,9,0,nonDRNA
1283,18,0,14,16,13,12,18,4,13,0,15,26,5,12,0,12,10,22,25,14,0,13,9,0,7,0,nonDRNA
1284,59,0,16,56,73,33,50,35,55,0,59,81,23,35,0,50,40,50,59,45,0,66,9,0,32,0,nonDRNA
1285,9,0,0,11,7,7,8,2,6,0,7,5,3,2,0,2,2,5,3,4,0,2,0,0,0,0,nonDRNA
1286,48,0,5,26,36,21,34,9,27,0,36,37,15,18,0,23,21,58,55,22,0,27,2,0,10,0,nonDRNA
1287,48,0,5,26,36,21,34,9,27,0,36,37,15,17,0,23,21,58,56,22,0,27,2,0,10,0,nonDRNA
1288,18,0,11,27,19,17,18,7,17,0,25,20,7,14,0,12,11,15,21,15,0,18,2,0,9,0,nonDRNA
1289,66,0,19,58,76,22,52,12,43,0,34,57,10,26,0,64,28,41,57,25,0,37,4,0,16,0,nonDRNA
1290,147,0,86,107,220,95,108,68,115,0,230,239,48,190,0,140,162,96,263,177,0,164,12,0,56,0,nonDRNA
1291,108,0,59,78,150,71,78,58,109,0,98,196,53,60,0,77,91,81,118,76,0,103,23,0,62,0,nonDRNA
1292,33,0,3,23,19,15,21,10,7,0,10,35,9,13,0,14,21,15,18,12,0,19,7,0,13,0,nonDRNA
1293,10,0,2,6,15,7,15,4,8,0,10,9,4,5,0,7,8,14,23,6,0,4,3,0,3,0,nonDRNA
1294,12,0,2,9,6,4,13,7,12,0,10,9,4,2,0,7,6,4,6,2,0,8,1,0,2,0,nonDRNA
1295,10,0,2,10,6,4,13,8,12,0,9,9,4,2,0,7,5,5,6,2,0,9,1,0,2,0,nonDRNA
1296,55,0,10,26,19,12,46,8,26,0,23,33,23,20,0,23,11,16,19,16,0,31,3,0,13,0,nonDRNA
1297,4,0,1,8,8,4,7,2,5,0,8,5,4,4,0,4,9,5,3,6,0,6,0,0,2,0,nonDRNA
1298,13,0,3,11,26,13,14,3,20,0,22,19,4,5,0,12,4,8,13,5,0,11,7,0,8,0,nonDRNA
1299,21,0,1,6,8,6,14,6,10,0,15,17,3,6,0,5,3,2,5,7,0,9,1,0,2,0,nonDRNA
1300,21,0,1,6,8,6,14,6,10,0,15,17,4,6,0,5,3,2,5,7,0,8,1,0,2,0,nonDRNA
1301,22,0,3,23,20,15,12,8,19,0,20,16,4,17,0,11,19,14,15,16,0,17,5,0,10,0,nonDRNA
1302,39,0,4,17,17,9,24,6,19,0,10,21,7,9,0,10,3,11,16,23,0,25,2,0,5,0,nonDRNA
1303,14,0,6,27,26,24,18,8,22,0,25,40,9,16,0,12,22,31,21,16,0,28,3,0,9,0,nonDRNA
1304,14,0,1,17,14,8,12,3,13,0,15,13,2,11,0,8,8,5,4,8,0,15,3,0,3,0,nonDRNA
1305,16,0,13,23,21,18,22,6,22,0,23,38,7,13,0,17,13,18,14,10,0,14,3,0,12,0,nonDRNA
1306,9,0,1,18,23,8,9,1,9,0,11,12,8,5,0,1,6,3,6,7,0,11,0,0,2,0,nonDRNA
1307,10,0,0,18,13,12,11,0,9,0,15,13,11,8,0,5,4,5,8,9,0,4,0,0,2,0,nonDRNA
1308,25,0,5,36,35,15,25,20,23,0,23,33,6,22,0,24,13,11,40,21,0,27,13,0,8,0,nonDRNA
1309,29,0,2,27,18,13,27,6,21,0,31,21,8,12,0,11,3,13,23,21,0,38,5,0,9,0,nonDRNA
1310,31,0,5,19,15,9,23,6,20,0,15,20,14,10,0,13,14,16,14,13,0,24,2,0,8,0,nonDRNA
1311,16,0,13,23,21,18,22,6,21,0,23,39,7,13,0,17,13,18,14,10,0,14,3,0,12,0,nonDRNA
1312,72,0,10,47,48,47,62,21,37,0,65,82,23,31,0,34,32,54,68,54,0,72,19,0,27,0,nonDRNA
1313,37,0,15,40,60,36,40,21,32,0,56,77,24,17,0,31,32,42,40,23,0,37,7,0,22,0,nonDRNA
1314,42,0,2,20,29,14,24,2,20,0,27,27,7,15,0,12,11,9,15,14,0,26,0,0,7,0,nonDRNA
1315,44,0,3,18,28,15,41,20,25,0,18,32,9,18,0,19,12,14,18,22,0,30,9,0,10,0,nonDRNA
1316,43,0,3,15,31,14,42,20,24,0,18,34,8,19,0,19,10,14,15,23,0,32,8,0,13,0,nonDRNA
1317,109,0,0,40,47,23,67,6,31,0,21,82,12,10,0,38,26,51,29,29,0,55,3,0,12,0,nonDRNA
1318,17,0,5,13,15,7,15,6,15,0,9,18,9,16,0,13,8,16,19,6,0,14,4,0,12,0,nonDRNA
1319,48,0,26,65,54,31,59,16,34,0,32,68,20,63,0,50,47,54,82,39,0,62,11,0,14,0,nonDRNA
1320,15,0,9,10,15,14,14,1,14,0,12,18,2,10,0,4,13,14,16,8,0,8,2,0,9,0,nonDRNA
1321,45,0,6,35,53,15,21,11,17,0,24,32,15,14,0,20,11,29,26,25,0,25,2,0,13,0,nonDRNA
1322,20,0,4,12,15,12,20,9,10,0,5,25,2,8,0,13,14,12,12,9,0,16,2,0,6,0,nonDRNA
1323,10,0,6,16,11,11,19,6,13,0,9,13,2,7,0,11,7,9,17,13,0,12,5,0,11,0,nonDRNA
1324,44,0,9,18,19,15,36,15,27,0,6,42,3,15,0,21,24,20,11,24,0,22,7,0,15,0,nonDRNA
1325,24,0,6,16,20,8,24,5,24,0,16,21,10,9,0,10,8,10,17,17,0,23,3,0,6,0,nonDRNA
1326,24,0,7,15,20,9,22,4,21,0,16,16,12,10,0,10,9,11,17,16,0,29,3,0,6,0,nonDRNA
1327,30,0,7,24,17,11,27,5,17,0,27,30,11,13,0,16,7,13,20,17,0,31,0,0,15,0,nonDRNA
1328,10,0,1,19,19,9,10,1,7,0,10,11,9,7,0,2,6,5,5,9,0,8,0,0,1,0,nonDRNA
1329,10,0,1,18,20,9,10,1,7,0,10,11,9,7,0,2,6,5,5,9,0,8,0,0,1,0,nonDRNA
1330,66,0,8,34,29,10,43,19,19,0,16,52,13,17,0,17,16,28,21,25,0,44,7,0,11,0,nonDRNA
1331,8,0,3,6,9,5,7,5,17,0,12,7,1,5,0,5,4,1,4,3,0,7,1,0,3,0,nonDRNA
1332,26,0,0,20,12,2,14,3,15,0,7,24,1,11,0,4,15,10,17,20,0,23,1,0,8,0,nonDRNA
1333,25,0,0,17,15,11,12,4,17,0,9,24,3,19,0,8,15,12,30,32,0,23,1,0,5,0,nonDRNA
1334,14,0,10,15,15,7,6,1,18,0,18,42,4,13,0,11,7,9,17,25,0,12,5,0,5,0,nonDRNA
1335,12,0,0,10,6,8,12,3,9,0,6,5,1,9,0,8,5,6,12,7,0,7,1,0,2,0,nonDRNA
1336,42,0,4,36,25,32,34,22,24,0,30,30,10,33,0,37,26,29,25,24,0,37,6,0,21,0,nonDRNA
1337,22,0,4,15,24,9,19,6,12,0,10,39,8,10,0,19,20,18,23,13,0,12,2,0,5,0,nonDRNA
1338,7,0,0,12,11,2,3,0,5,0,4,7,3,2,0,0,3,2,3,3,0,9,0,0,1,0,nonDRNA
1339,11,0,5,15,24,9,16,4,14,0,17,28,6,4,0,9,6,9,17,10,0,15,2,0,8,0,nonDRNA
1340,62,0,6,37,67,39,58,10,27,0,33,84,8,19,0,35,35,44,52,37,0,43,10,0,31,0,nonDRNA
1341,225,0,5,114,138,47,150,43,89,0,49,143,31,32,0,107,59,106,96,94,0,139,19,0,47,0,nonDRNA
1342,16,0,2,11,15,8,15,9,13,0,12,13,3,24,0,9,9,14,26,4,0,20,3,0,22,0,nonDRNA
1343,16,0,2,11,14,8,15,9,13,0,13,13,3,24,0,9,9,14,26,4,0,20,3,0,22,0,nonDRNA
1344,8,0,12,8,7,2,7,3,2,0,7,5,5,6,0,1,7,4,10,2,0,11,6,0,0,0,nonDRNA
1345,11,0,2,14,22,6,13,5,10,0,14,9,2,6,0,3,7,13,7,5,0,10,2,0,4,0,nonDRNA
1346,31,0,3,19,25,15,31,5,20,0,21,29,11,9,0,7,14,15,15,22,0,23,1,0,6,0,nonDRNA
1347,19,0,2,12,15,8,17,6,6,0,11,30,8,9,0,15,14,14,10,17,0,23,4,0,8,0,nonDRNA
1348,19,0,2,12,17,7,17,7,7,0,12,32,8,6,0,14,11,14,12,19,0,20,4,0,8,0,nonDRNA
1349,2,0,4,6,3,4,5,3,7,0,4,4,3,5,0,7,3,1,4,5,0,2,0,0,7,0,nonDRNA
1350,52,0,7,25,27,13,40,10,14,0,15,56,13,21,0,17,15,22,21,24,0,34,3,0,9,0,nonDRNA
1351,36,0,5,12,7,25,38,10,26,0,5,27,7,6,0,19,8,13,16,16,0,15,18,0,15,0,nonDRNA
1352,14,0,5,7,24,7,9,6,14,0,16,24,7,13,0,11,13,17,20,13,0,14,4,0,12,0,nonDRNA
1353,57,0,8,32,52,20,36,12,28,0,43,90,10,30,0,80,34,25,74,33,0,44,7,0,8,0,nonDRNA
1354,25,0,2,17,25,8,9,1,15,0,18,23,7,13,0,7,10,17,17,8,0,10,2,0,14,0,nonDRNA
1355,10,0,0,13,14,9,12,1,9,0,16,12,3,5,0,0,6,1,7,3,0,9,0,0,4,0,nonDRNA
1356,29,0,11,28,30,21,32,15,27,0,35,66,13,17,0,27,21,26,40,23,0,38,8,0,12,0,nonDRNA
1357,22,0,2,14,18,15,13,10,22,0,14,33,5,7,0,18,11,18,21,9,0,13,5,0,8,0,nonDRNA
1358,19,0,11,16,22,11,26,12,14,0,4,25,2,12,0,39,15,22,30,22,0,14,4,0,6,0,nonDRNA
1359,20,0,11,14,24,12,25,10,13,0,4,21,2,15,0,32,17,19,31,19,0,15,3,0,6,0,nonDRNA
1360,19,0,3,9,22,5,9,4,8,0,11,20,4,4,0,8,23,14,13,8,0,14,2,0,5,0,nonDRNA
1361,20,0,9,13,14,11,21,10,12,0,5,31,5,6,0,14,11,19,15,18,0,15,0,0,5,0,nonDRNA
1362,19,0,4,14,28,14,11,10,21,0,20,30,6,15,0,14,12,17,14,12,0,15,2,0,12,0,nonDRNA
1363,29,0,4,20,21,16,22,9,24,0,20,19,5,12,0,13,12,15,13,12,0,20,4,0,11,0,nonDRNA
1364,28,0,6,33,34,19,24,14,23,0,43,53,13,21,0,29,21,24,35,23,0,30,8,0,17,0,nonDRNA
1365,22,0,4,15,17,11,19,7,15,0,15,7,2,11,0,8,7,9,13,12,0,9,9,0,3,0,nonDRNA
1366,34,0,51,30,71,41,52,66,25,0,72,56,7,27,0,34,56,49,77,60,0,30,7,0,26,0,nonDRNA
1367,24,0,4,14,20,12,22,4,5,0,11,26,3,3,0,13,3,20,11,4,0,18,5,0,9,0,nonDRNA
1368,40,0,20,38,58,25,50,13,32,0,32,70,11,35,0,32,25,39,40,34,0,57,13,0,23,0,nonDRNA
1369,41,0,6,33,40,7,52,6,38,0,31,42,11,19,0,32,20,26,52,25,0,17,2,0,7,0,nonDRNA
1370,16,0,4,12,29,12,18,5,14,0,14,18,5,5,0,19,6,7,14,13,0,23,5,0,7,0,nonDRNA
1371,8,0,0,7,15,4,6,6,11,0,9,12,1,6,0,5,2,3,13,11,0,5,4,0,6,0,nonDRNA
1372,13,0,2,13,19,7,16,1,7,0,11,15,1,10,0,3,6,3,9,9,0,13,3,0,9,0,nonDRNA
1373,36,0,25,29,59,15,36,17,24,0,22,45,9,33,0,46,39,40,48,25,0,23,3,0,8,0,nonDRNA
1374,6,0,2,16,21,12,13,3,14,0,7,14,4,8,0,9,4,14,8,6,0,13,4,0,7,0,nonDRNA
1375,38,0,0,2,8,15,28,6,4,0,3,67,3,5,0,13,5,10,8,8,0,9,14,0,7,0,nonDRNA
1376,8,0,3,6,13,6,15,5,5,0,11,19,2,8,0,7,6,7,9,12,0,4,1,0,8,0,nonDRNA
1377,6,0,3,7,12,6,14,5,6,0,12,18,2,8,0,8,6,6,10,12,0,5,1,0,8,0,nonDRNA
1378,6,0,3,7,12,8,14,5,6,0,13,20,2,7,0,7,6,5,9,13,0,4,1,0,7,0,nonDRNA
1379,56,0,25,60,72,36,60,25,32,0,59,89,22,40,0,49,43,44,92,46,0,58,15,0,39,0,nonDRNA
1380,57,0,1,31,34,10,43,13,16,0,12,49,16,3,0,24,10,38,27,29,0,35,10,0,8,0,nonDRNA
1381,52,0,13,25,30,24,44,15,22,0,18,49,13,15,0,28,31,23,49,22,0,39,7,0,17,0,nonDRNA
1382,10,0,1,9,13,6,14,2,7,0,4,17,3,6,0,8,9,2,11,8,0,11,3,0,5,0,nonDRNA
1383,59,0,6,25,23,17,36,13,15,0,9,56,10,12,0,25,24,29,30,22,0,35,3,0,9,0,nonDRNA
1384,7,0,0,4,14,2,8,1,11,0,11,10,4,8,0,1,4,7,7,4,0,5,2,0,6,0,nonDRNA
1385,16,0,1,16,39,4,18,7,16,0,10,21,7,5,0,18,6,27,5,11,0,15,1,0,15,0,nonDRNA
1386,31,0,5,15,26,15,35,10,22,0,27,26,8,10,0,23,8,9,12,16,0,36,5,0,11,0,nonDRNA
1387,16,0,1,12,20,10,10,3,15,0,24,30,8,7,0,12,5,12,12,4,0,10,1,0,10,0,nonDRNA
1388,14,0,0,12,20,10,10,3,16,0,23,30,8,7,0,11,8,11,15,4,0,9,1,0,10,0,nonDRNA
1389,55,0,5,19,22,14,42,7,23,0,16,35,11,6,0,13,15,30,21,19,0,29,6,0,6,0,nonDRNA
1390,33,0,10,35,31,21,32,22,29,0,35,54,20,16,0,30,17,32,48,23,0,39,4,0,21,0,nonDRNA
1391,16,0,1,10,18,10,10,2,12,0,9,29,7,4,0,4,11,21,12,12,0,6,1,0,3,0,nonDRNA
1392,29,0,0,14,32,6,20,4,12,0,24,35,7,6,0,21,8,19,8,10,0,30,4,0,12,0,nonDRNA
1393,30,0,7,16,22,12,37,8,15,0,18,34,9,15,0,14,16,17,16,16,0,26,4,0,16,0,nonDRNA
1394,50,0,29,21,49,23,21,23,22,0,50,59,8,24,0,43,32,29,48,35,0,40,7,0,17,0,nonDRNA
1395,19,0,15,16,20,10,16,11,7,0,27,25,5,10,0,9,9,14,18,10,0,18,2,0,7,0,nonDRNA
1396,40,0,4,16,20,5,17,9,18,0,11,21,9,6,0,6,9,17,2,15,0,15,0,0,3,0,nonDRNA
